[2026-04-25 23:10:35.823] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":92}
[2026-04-25 23:10:35.829] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2026-04-25 23:10:35.831] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":94}
[2026-04-25 23:10:35.834] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":95}
[2026-04-25 23:10:35.839] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2026-04-25 23:10:35.841] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":97}
[2026-04-25 23:10:35.842] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":98}
[2026-04-25 23:10:35.851] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":99}
[2026-04-25 23:10:35.856] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2026-04-25 23:10:35.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2026-04-25 23:10:36.192] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2026-04-25 23:10:36.216] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2026-04-25 23:10:36.231] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2026-04-25 23:10:36.255] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2026-04-25 23:10:36.277] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2026-04-25 23:10:36.294] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
